wavelength [nm],transmission
711.6,0.97286
711.8,0.97055
712,0.96952
712.2,0.97025
712.4,0.97226
712.6,0.97336
712.8,0.97176
713,0.97126
713.2,0.97037
713.4,0.97274
713.6,0.97508
713.8,0.97072
714,0.96895
714.2,0.97113
714.4,0.96824
714.6,0.96598
714.8,0.96993
715,0.96875
715.2,0.96796
715.4,0.97002
715.6,0.96985
715.8,0.97211
716,0.9733
716.2,0.97377
716.4,0.97451
716.6,0.97646
716.8,0.9768
717,0.97484
717.2,0.97462
717.4,0.97596
717.6,0.97927
717.8,0.97852
718,0.9762
718.2,0.97539
718.4,0.97721
718.6,0.97655
718.8,0.97402
719,0.97446
719.2,0.97567
719.4,0.97938
719.6,0.97846
719.8,0.98125
720,0.98623
720.2,0.98806
720.4,0.98948
720.6,0.99035
720.8,0.98888
721,0.98955
721.2,0.98853
721.4,0.98701
721.6,0.98705
721.8,0.98806
722,0.9931
722.2,0.99151
722.4,0.98893
722.6,0.98985
722.8,0.99237
723,0.99378
723.2,0.99475
723.4,0.9969
723.6,0.9978
723.8,0.99866
724,0.99989
724.2,0.99612
724.4,0.99571
724.6,0.99832
724.8,0.99732
725,0.99738
725.2,0.9954
725.4,0.99721
725.6,0.99427
725.8,0.99275
726,0.99539
726.2,0.99622
726.4,0.99571
726.6,0.99539
726.8,0.99456
727,0.98974
727.2,0.98488
727.4,0.98499
727.6,0.98619
727.8,0.98443
728,0.98215
728.2,0.9809
728.4,0.97881
728.6,0.97811
728.8,0.97799
729,0.98121
729.2,0.98201
729.4,0.98256
729.6,0.98483
729.8,0.98335
730,0.98021
730.2,0.97963
730.4,0.97948
730.6,0.9801
730.8,0.98195
731,0.98328
731.2,0.98089
731.4,0.97882
731.6,0.97842
731.8,0.97985
732,0.98052
732.2,0.97997
732.4,0.9767
732.6,0.97707
732.8,0.982
733,0.98279
733.2,0.98063
733.4,0.98298
733.6,0.98342
733.8,0.98468
734,0.98497
734.2,0.98737
734.4,0.98441
734.6,0.98141
734.8,0.97988
735,0.98094
735.2,0.9839
735.4,0.98422
735.6,0.98351
735.8,0.98398
736,0.98367
736.2,0.98423
736.4,0.98458
736.6,0.98367
736.8,0.97928
737,0.97862
737.2,0.98001
737.4,0.97931
737.6,0.98382
737.8,0.98293
738,0.97963
738.2,0.98196
738.4,0.98441
738.6,0.98542
738.8,0.98412
739,0.98291
739.2,0.98097
739.4,0.97925
739.6,0.98001
739.8,0.97842
740,0.97651
740.2,0.98037
740.4,0.98069
740.6,0.98043
740.8,0.9794
741,0.97651
741.2,0.97409
741.4,0.97436
741.6,0.97387
741.8,0.97487
742,0.97672
742.2,0.97759
742.4,0.97673
742.6,0.97535
742.8,0.97431
743,0.97449
743.2,0.97461
743.4,0.9734
743.6,0.97111
743.8,0.97421
744,0.97538
744.2,0.97627
744.4,0.97776
744.6,0.9771
744.8,0.97164
745,0.9668
745.2,0.969
745.4,0.97104
745.6,0.97022
745.8,0.97012
746,0.96833
746.2,0.96979
746.4,0.97094
746.6,0.97259
746.8,0.9741
747,0.97776
747.2,0.98102
747.4,0.98157
747.6,0.97657
747.8,0.97348
748,0.97383
748.2,0.97444
748.4,0.97417
748.6,0.9753
748.8,0.97491
749,0.96869
749.2,0.96847
749.4,0.97077
749.6,0.97156
749.8,0.97206
750,0.97401
750.2,0.97678
750.4,0.97768
750.6,0.97465
750.8,0.97279
751,0.97321
751.2,0.97629
751.4,0.97818
751.6,0.97888
751.8,0.97885
752,0.97761
752.2,0.97526
752.4,0.97477
752.6,0.97598
752.8,0.97445
753,0.97217
753.2,0.97
753.4,0.967
753.6,0.96587
753.8,0.96552
754,0.96335
754.2,0.95709
754.4,0.95132
754.6,0.94791
754.8,0.94406
755,0.94082
755.2,0.93513
755.4,0.93017
755.6,0.92391
755.8,0.91886
756,0.91128
756.2,0.901
