wavelength [nm],transmission
612.4,0.97502
612.6,0.97046
612.8,0.96886
613,0.96575
613.2,0.96573
613.4,0.9667
613.6,0.96702
613.8,0.96666
614,0.96466
614.2,0.96495
614.4,0.96292
614.6,0.96054
614.8,0.95785
615,0.95557
615.2,0.95498
615.4,0.95606
615.6,0.95084
615.8,0.94665
616,0.94532
616.2,0.94374
616.4,0.9402
616.6,0.93242
616.8,0.8828
617,0.61159
617.2,0.20603
617.4,0.03803
617.6,0.01104
617.8,0.00276
618,7.39E-04
618.2,2.41E-04
618.4,8.75E-05
618.6,3.07E-05
618.8,1.86E-05
619,1.14E-05
619.2,1.46E-06
619.4,1.10E-06
619.6,7.23E-07
619.8,5.64E-07
620,4.05E-07
620.2,2.88E-07
620.4,1.27E-07
620.6,2.79E-07
620.8,3.36E-07
621,5.25E-07
621.2,5.47E-07
621.4,2.21E-07
621.6,4.04E-07
621.8,1.43E-07
622,1.06E-07
622.2,5.04E-07
622.4,2.87E-07
622.6,1.00E-07
622.8,1.73E-07
623,1.00E-07
623.2,1.97E-07
623.4,1.75E-07
623.6,1.70E-07
623.8,1.00E-07
624,1.00E-07
624.2,1.00E-07
624.4,1.30E-07
624.6,1.89E-07
624.8,2.45E-07
625,2.04E-07
625.2,1.70E-07
625.4,2.01E-07
625.6,2.40E-07
625.8,1.64E-07
626,1.12E-07
626.2,1.08E-07
626.4,1.19E-07
626.6,1.22E-07
626.8,1.00E-07
627,1.00E-07
627.2,1.00E-07
627.4,1.54E-07
627.6,2.85E-07
627.8,3.23E-07
628,1.00E-07
628.2,1.17E-07
628.4,1.43E-07
628.6,1.00E-07
628.8,4.96E-07
629,1.09E-07
629.2,3.72E-07
629.4,1.11E-07
629.6,1.71E-07
629.8,1.00E-07
630,1.29E-07
630.2,1.77E-07
630.4,2.38E-07
630.6,1.65E-07
630.8,2.17E-07
631,1.00E-07
631.2,1.98E-07
631.4,1.16E-07
631.6,1.04E-07
631.8,1.57E-07
632,2.28E-07
632.2,1.28E-07
632.4,1.00E-07
632.6,1.40E-07
632.8,2.46E-07
633,1.00E-07
633.2,1.82E-07
633.4,1.00E-07
633.6,1.00E-07
633.8,2.63E-07
634,1.31E-07
634.2,2.83E-07
634.4,1.61E-07
634.6,1.01E-07
634.8,1.00E-07
635,2.84E-07
635.2,2.24E-07
635.4,1.00E-07
635.6,1.51E-07
635.8,1.03E-07
636,1.16E-07
636.2,1.43E-07
636.4,2.70E-07
636.6,1.28E-07
636.8,1.00E-07
637,1.00E-07
637.2,1.00E-07
637.4,1.19E-07
637.6,1.54E-07
637.8,1.80E-07
638,1.39E-07
638.2,1.08E-07
638.4,1.00E-07
638.6,1.00E-07
638.8,1.00E-07
639,1.00E-07
639.2,1.00E-07
639.4,3.55E-07
639.6,1.35E-07
639.8,2.18E-07
640,1.10E-07
640.2,1.75E-07
640.4,1.00E-07
640.6,1.00E-07
640.8,1.00E-07
641,1.00E-07
641.2,1.00E-07
641.4,1.00E-07
641.6,1.18E-07
641.8,1.40E-07
642,1.66E-07
642.2,1.97E-07
642.4,2.33E-07
642.6,2.76E-07
642.8,3.27E-07
643,3.45E-07
643.2,3.42E-07
643.4,3.40E-07
643.6,3.37E-07
643.8,3.35E-07
644,3.33E-07
644.2,3.30E-07
644.4,3.28E-07
644.6,3.26E-07
644.8,3.24E-07
645,3.21E-07
645.2,3.19E-07
645.4,3.17E-07
645.6,3.15E-07
645.8,3.13E-07
646,3.11E-07
646.2,3.08E-07
646.4,3.06E-07
646.6,3.05E-07
646.8,3.04E-07
647,3.02E-07
647.2,3.01E-07
647.4,3.00E-07
647.6,2.98E-07
647.8,2.97E-07
648,2.96E-07
648.2,2.94E-07
648.4,2.93E-07
648.6,2.92E-07
648.8,2.90E-07
649,2.89E-07
649.2,2.88E-07
649.4,2.86E-07
649.6,2.85E-07
649.8,2.84E-07
650,2.82E-07
650.2,2.81E-07
650.4,2.80E-07
650.6,2.79E-07
650.8,2.77E-07
651,2.76E-07
651.2,2.75E-07
651.4,2.74E-07
651.6,2.72E-07
651.8,2.71E-07
652,2.69E-07
652.2,2.68E-07
652.4,2.66E-07
652.6,2.65E-07
652.8,2.64E-07
653,2.62E-07
653.2,2.61E-07
653.4,2.59E-07
653.6,2.58E-07
653.8,2.57E-07
654,2.55E-07
654.2,2.54E-07
654.4,2.53E-07
654.6,2.51E-07
654.8,2.50E-07
655,2.49E-07
655.2,2.47E-07
655.4,2.46E-07
655.6,2.45E-07
655.8,2.43E-07
656,2.42E-07
656.2,2.41E-07
656.4,2.40E-07
656.6,2.40E-07
656.8,2.39E-07
657,2.39E-07
657.2,2.38E-07
657.4,2.37E-07
657.6,2.37E-07
657.8,2.36E-07
658,2.36E-07
658.2,2.35E-07
658.4,2.35E-07
658.6,2.34E-07
658.8,2.34E-07
659,2.33E-07
659.2,2.33E-07
659.4,2.32E-07
659.6,2.32E-07
659.8,2.31E-07
660,2.31E-07
660.2,2.30E-07
660.4,2.30E-07
660.6,2.29E-07
660.8,2.29E-07
661,2.28E-07
661.2,2.28E-07
661.4,2.27E-07
661.6,2.26E-07
661.8,2.25E-07
662,2.24E-07
662.2,2.23E-07
662.4,2.22E-07
662.6,2.21E-07
662.8,2.20E-07
663,2.19E-07
663.2,2.18E-07
663.4,2.17E-07
663.6,2.16E-07
663.8,2.15E-07
664,2.14E-07
664.2,2.13E-07
664.4,2.12E-07
664.6,2.11E-07
664.8,2.10E-07
665,2.09E-07
665.2,2.09E-07
665.4,2.08E-07
665.6,2.07E-07
665.8,2.06E-07
666,2.05E-07
666.2,2.04E-07
666.4,2.03E-07
666.6,2.03E-07
666.8,2.02E-07
667,2.02E-07
667.2,2.01E-07
667.4,2.01E-07
667.6,2.00E-07
667.8,2.00E-07
